,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,6,aide,help
6,6,8,genre,kind
7,7,10,frère,brother
8,8,11,laisser,let
9,9,12,car,because
10,10,13,mettre,to put
11,11,14,aucun,no
12,12,16,eux,them
13,13,17,ville,city
14,14,18,chaque,each
15,15,19,parlé,speak
16,16,20,arrivé,come
17,17,21,devrait,should
18,18,22,bébé,baby
19,19,23,longtemps,long time
20,20,24,heures,hours
21,21,25,vont,will
22,22,26,pendant,while
23,23,27,revoir,meet again
24,24,30,parle,speak
25,25,31,compris,understood
26,26,33,étaient,were
27,27,34,attention,Warning
28,28,35,voici,here is
29,29,37,affaire,case
30,30,38,donner,give
31,31,39,type,type
32,32,40,leurs,their
33,33,41,donné,given
34,34,42,train,train
35,35,43,corps,body
36,36,44,endroit,place
37,37,45,yeux,eyes
38,38,46,façon,way
39,39,47,écoute,listen
40,40,49,trouve,find
41,41,50,premier,first
42,42,51,perdu,lost
43,43,52,main,hand
44,44,55,pouvoir,power
45,45,56,vieux,old
46,46,57,sois,be
47,47,58,tiens,here
48,48,60,tellement,so much
49,49,61,enfant,child
50,50,62,point,point
51,51,63,venu,came
52,52,64,suite,after
53,53,66,venez,come
54,54,67,devant,in front of
55,55,69,minutes,minutes
56,56,71,chambre,bedroom
57,57,72,mis,placed
58,58,73,belle,beautiful
59,59,74,droit,law
60,60,75,aimerais,would like to
61,61,76,aujourd'hui,today
62,62,77,mari,husband
63,63,78,cause,cause
64,64,80,espère,hope
65,65,81,eau,water
66,66,83,parti,left
67,67,84,nouvelle,new
68,68,86,arrêter,Stop
69,69,87,dirait,would say
70,70,88,terre,Earth
71,71,89,compte,account
72,72,90,donne,given
73,73,91,loin,far
74,74,92,fin,end
75,75,93,croire,believe
76,76,94,chérie,sweetheart
77,77,95,gros,large
78,78,96,plutôt,rather
79,79,97,aura,will have
80,81,99,jouer,to play
81,82,100,bureau,office
